source,label,target,type,id,kind,weight
Primus Angelus,GEHEN,Infernum,directed,e236,geht,
Secundus Angelus,GEHEN,Infernum,directed,e237,geht,
Tertius Angelus,GEHEN,Infernum,directed,e238,geht,
Primus Angelus,SINGEN,Ignotus,directed,e239,singt,
Secundus Angelus,SINGEN,Ignotus,directed,e240,singt,
Tertius Angelus,SINGEN,Ignotus,directed,e241,singt,
Adam,SINGEN,Ihesus,directed,e242,singt,
Primus Angelus,SINGEN,Ihesus,directed,e243,singt,
Secundus Angelus,SINGEN,Ihesus,directed,e244,singt,
Tertius Angelus,SINGEN,Ihesus,directed,e245,singt,
Lucifer,RUFEN,Ignotus,directed,e246,schreit,
Primus Angelus,SINGEN,Ignotus,directed,e247,singt,
Secundus Angelus,SINGEN,Ignotus,directed,e248,singt,
Tertius Angelus,SINGEN,Ignotus,directed,e249,singt,
Lucifer,RUFEN,Ignotus,directed,e250,schreit,
Primus Angelus,SPRECHEN,Lucifer,directed,e251,spricht,
Secundus Angelus,SPRECHEN,Lucifer,directed,e252,spricht,
Tertius Angelus,SPRECHEN,Lucifer,directed,e253,spricht,
Primus Angelus,SCHLAGEN,Portus Inferni,directed,e254,pocht an,
Lucifer,SPRECHEN,Ignotus,directed,e255,spricht,
Primus Angelus,SINGEN,Ignotus,directed,e256,singt,
Secundus Angelus,SINGEN,Ignotus,directed,e257,singt,
Tertius Angelus,SINGEN,Ignotus,directed,e258,singt,
Lucifer,SPRECHEN,Ignotus,directed,e259,spricht,
Primus Angelus,SPRECHEN,Ignotus,directed,e260,spricht,
Secundus Angelus,SPRECHEN,Ignotus,directed,e261,spricht,
Tertius Angelus,SPRECHEN,Ignotus,directed,e262,spricht,
Lucifer,SPRECHEN,Ignotus,directed,e263,spricht,
Ihesus,SPRECHEN,Ignotus,directed,e264,spricht,
Lucifer,SPRECHEN,Ignotus,directed,e265,spricht,
Ihesus,SCHLAGEN,Portus Inferni,directed,e266,zerbricht,
Daemones,RUFEN,Ignotus,directed,e267,heulen,
Ihesus,SPRECHEN,Adam,directed,e268,spricht,
Adam,SPRECHEN,Ihesus,directed,e269,spricht,
Eva,SPRECHEN,Ignotus,directed,e270,spricht,
